DeltaNDT,Ni,P,T,Fluence,Cu
12,0.74,0.005,289,2.7,0.018
7,0.75,0.005,289,0.86,0.02
2,0.73,0.005,289,0.9,0.029
10,0.73,0.005,289,2.6,0.029
32,0.57,0.005,288,0.06,0.03
33,0.57,0.005,288,2.5,0.03
38,0.57,0.005,288,4,0.03
5,0.57,0.007,284,0.5,0.03
15,0.57,0.007,284,3.1,0.03
32,0.57,0.007,284,6.3,0.03
5,0.64,0.007,288,0.59,0.03
10,0.64,0.007,288,2,0.03
14,0.64,0.007,288,3.9,0.03
3,0.73,0.005,289,0.9,0.03
15,0.73,0.005,289,2.7,0.03
16,0.74,0.005,289,0.62,0.035
19,0.74,0.005,289,3.1,0.035
10,0.75,0.004,288,0.38,0.036
40,0.75,0.004,288,5.4,0.036
10,0.62,0.003,284,0.55,0.037
36,0.62,0.003,284,4.7,0.037
7,0.76,0.004,284,0.75,0.039
0,0.76,0.004,288,0.37,0.044
10,0.58,0.005,284,0.5,0.05
27,0.58,0.005,284,3.1,0.05
54,0.58,0.005,284,6.4,0.05
25,0.62,0.007,288,0.35,0.05
41,0.62,0.007,288,2,0.05
55,0.62,0.007,288,4,0.05
21,0.59,0.009,284,0.48,0.068
29,0.59,0.009,284,3,0.068
46,0.59,0.009,284,5.8,0.068
9,0.56,0.013,289,0.3,0.07
26,0.56,0.013,289,1.5,0.07
32,0.56,0.013,289,2.5,0.07
45,0.56,0.013,289,5,0.07
22,0.55,0.01,289,0.3,0.09
42,0.55,0.01,289,2,0.09
50,0.55,0.01,289,3.5,0.09
17,0.57,0.01,289,0.3,0.1
41,0.57,0.01,289,2.2,0.1
48,0.57,0.01,289,3.5,0.1
51,0.56,0.01,288,0.54,0.12
53,0.56,0.01,288,2.1,0.12
72,0.56,0.01,288,3.5,0.12
52,0.58,0.014,289,0.8,0.12
62,0.58,0.014,289,1.9,0.12
75,0.58,0.014,289,3.1,0.12
81,0.58,0.014,289,4.4,0.12
22,0.58,0.014,289,0.4,0.13
70,0.58,0.014,289,1.8,0.13
63,0.58,0.014,289,2.8,0.13
88,0.58,0.014,289,4.7,0.13
46,0.59,0.011,289,0.6,0.16
52,0.59,0.011,289,1.2,0.16
72,0.59,0.011,289,2.1,0.16
75,0.59,0.011,289,3,0.16
26,0.61,0.01,289,0.3,0.16
58,0.61,0.01,289,1.3,0.16
72,0.61,0.01,289,3.4,0.16
18,0.86,0.007,284,0.5,0.014
25,0.86,0.007,284,3.1,0.014
41,0.86,0.007,284,6.4,0.014
24,0.9,0.006,289,0.62,0.017
24,0.88,0.008,284,0.55,0.019
33,0.88,0.008,284,4.7,0.019
14,0.88,0.008,284,0.5,0.02
24,0.88,0.008,284,3.1,0.02
34,0.88,0.008,284,6.3,0.02
15,0.09,0.008,288,0.59,0.04
16,0.09,0.008,288,2,0.04
37,0.09,0.008,288,3.9,0.04
8,0.92,0.009,284,0.48,0.041
24,0.92,0.009,284,3,0.041
41,0.92,0.009,284,5.8,0.041
18,0.86,0.011,289,0.4,0.06
31,0.86,0.011,289,1.8,0.06
38,0.86,0.011,289,2.8,0.06
57,0.86,0.011,289,4.7,0.06
27,0.84,0.012,288,0.6,0.07
48,0.84,0.012,288,2.5,0.07
45,0.84,0.012,288,4,0.07
2,0.84,0.012,289,0.3,0.09
35,0.84,0.012,289,2,0.09
36,0.84,0.012,289,3.5,0.09
48,0.91,0.014,288,0.35,0.09
69,0.91,0.014,288,2,0.09
91,0.91,0.014,288,4,0.09
24,0.84,0.013,289,0.3,0.1
41,0.84,0.013,289,1.5,0.1
45,0.84,0.013,289,2.5,0.1
59,0.84,0.013,289,5,0.1
44,0.9,0.011,289,0.8,0.1
64,0.9,0.011,289,1.9,0.1
78,0.9,0.011,289,3.1,0.1
77,0.9,0.011,289,4.4,0.1
20,0.84,0.012,289,0.3,0.13
57,0.84,0.012,289,2.2,0.13
61,0.84,0.012,289,3.5,0.13
28,0.85,0.011,288,0.54,0.13
52,0.85,0.011,288,2.1,0.13
64,0.85,0.011,288,3.5,0.13
33,0.8,0.012,289,0.3,0.14
56,0.8,0.012,289,1.3,0.14
77,0.8,0.012,289,3.4,0.14
104,1.08,0.012,289,0.6,0.19
114,1.08,0.012,289,1.2,0.19
126,1.08,0.012,289,2.1,0.19
131,1.08,0.012,289,3,0.19
